rating	total_spent_by_client	country	payment_verified	job_url_main	job_title	job_description	time_posted	hourly_rate	skill_level	estimated_time	estimated_budget	tags
	$1K+	United States	Payment verified	https://www.upwork.com/jobs/Data-Engineer-Needed-with-experience-communicating-technical-solutions-and-delivering-demos_~021884110726168860721/?referrer_url_path=find_work_home	Data Engineer Needed with experience in communicating technical solutions and delivering demos	"We are looking for a Data Engineer with experience in multiple tools 
- Strong Data Engineering experience with multiple tools such as Azure Data Factory, Fivetran, and dbt
- Experience in communicating technical solutions and delivering demos to clients globally"	17 minutes ago	Hourly	Expert	Est. Time:	30+ hrs/week	['Data Migration', 'ETL Pipeline', 'Data Transformation', 'Data Engineering', 'Data Integration', 'dbt', 'Snowflake', 'Data Warehousing & ETL Software']
"about ""Performance Marketing Manager for Clothing Brand"""	$0	India	Payment verified	https://www.upwork.com/jobs/Performance-Marketing-Manager-for-Clothing-Brand_~021884110614197266153/?referrer_url_path=find_work_home	Performance Marketing Manager for Clothing Brand	We are seeking a skilled Performance Marketing Manager to drive our clothing brand's growth through data-driven marketing strategies. The ideal candidate will have experience in digital marketing, with a focus on paid advertising and ROI optimization. You will be responsible for developing and executing campaigns across various platforms, analyzing performance metrics, and collaborating with our creative team to enhance brand visibility. If you are passionate about fashion and have a proven track record in performance marketing, we would love to hear from you!	18 minutes ago	Fixed-price	Intermediate	Est. Budget:	$175	['Google Ads', 'Facebook', 'Social Media Marketing', 'Instagram', 'Social Media Management', 'Internet Marketing']
"about ""AI-integrated App Development for High-Traffic Platform"""	$11	USA	Payment verified	https://www.upwork.com/jobs/integrated-App-Development-for-High-Traffic-Platform_~021884110114918187484/?referrer_url_path=find_work_home	AI-integrated App Development for High-Traffic Platform	We are seeking an experienced app developer to help us create an innovative platform that integrates AI technology and various platforms for our new business idea. The ideal candidate will have expertise in building scalable applications that can handle millions of users. This project requires strong problem-solving skills and a deep understanding of AI algorithms and integration. The developer must be proficient in programming languages such as Python or Java, and have experience in working with popular AI frameworks. The successful candidate will work closely with our team to design, develop, and deploy the app, ensuring a seamless user experience and excellent performance.	20 minutes ago	Fixed-price	Expert	Est. Budget:	$2,000	['Android', 'JavaScript', 'Java', 'API', 'Python']
"about ""Google Tag Specialist Needed for Auditing and Implementation"""	$600	United States	Payment verified	https://www.upwork.com/jobs/Google-Tag-Specialist-Needed-for-Auditing-and-Implementation_~021884108891265263337/?referrer_url_path=find_work_home	Google Tag Specialist Needed for Auditing and Implementation	We are seeking a highly skilled Google Tag Specialist to assist our clients with tag auditing and implementation. The ideal candidate will have a deep understanding of Google Tag Manager, Google Analytics, and tracking best practices. You will be responsible for reviewing existing tags, recommending improvements, and implementing new tags as needed. If you are detail-oriented and have a passion for optimizing tracking strategies, we would love to hear from you.	25 minutes ago	Hourly: $5-$50	Expert	Est. Time:	Hours to be determined	['Google Tag Manager', 'Google Analytics', 'Google Ads', 'Meta Pixel', 'Microsoft Ads', 'Analytics']
"about ""AI Agent Development for Financial Services using Salesforce and Office 365"""	$10K+	United States	Payment verified	https://www.upwork.com/jobs/Agent-Development-for-Financial-Services-using-Salesforce-and-Office-365_~021884107509215216091/?referrer_url_path=find_work_home	AI Agent Development for Financial Services using Salesforce and Office 365	We are a financial services organization seeking a skilled developer to create an AI agent aimed at streamlining our processes. The project will involve integrating the AI agent with our existing Salesforce and Office 365 platforms to enhance productivity and efficiency. The ideal candidate will have a strong background in AI development, Salesforce customization, and Office 365 integration. If you have experience in these areas and are passionate about leveraging technology for business optimization, we would love to hear from you.	30 minutes ago	Hourly	Intermediate	Est. Time:	Less than 30 hrs/week	['Microsoft Excel', 'Data Entry', 'Salesforce CRM', 'Lead Generation', 'Customer Relationship Management']
"about ""Experienced Data Analyst Needed for Data Cleaning and Visualization"""	$400+	USA	Payment verified	https://www.upwork.com/jobs/Experienced-Data-Analyst-Needed-for-Data-Cleaning-and-Visualization_~021884102967799005659/?referrer_url_path=find_work_home	Experienced Data Analyst Needed for Data Cleaning and Visualization	"We are looking for a skilled Data Analyst in Southeast Asia to join our team. The ideal candidate will possess strong expertise in data cleaning, visualization, and analysis. Your role will involve processing and analyzing datasets to extract meaningful insights, as well as creating visual representations to communicate findings effectively. If you are detail-oriented, proficient in data analysis tools, and have a passion for turning data into actionable strategies, we would love to hear from you.

Responsibilities:

Collect and clean data from various sources, ensuring accuracy and relevance.
Analyze cleaned data to uncover trends, patterns, and insights.
Develop compelling visualizations that clearly communicate these insights.
Move cleaned data to landing page that displays the cleaned dataset and visualizations.
Work collaboratively with cross-functional teams to implement data-driven strategies.
Required Skills and Qualifications:

Proficiency in data analysis tools and programming languages (e.g., SQL, Python, R).
Experience with data visualization tools (e.g., Tableau, Power BI, D3.js).
Strong understanding of statistical analysis and predictive modeling.
Ability to design and develop web interfaces (knowledge of HTML, CSS, JavaScript).
Excellent problem-solving skills and attention to detail.

Initial Screening: Candidates must submit a resume and a cover letter detailing their experience and why they are suitable for this role."	48 minutes ago	Hourly: $15-$50	Intermediate	Est. Time:	Less than 30 hrs/week	['Microsoft Excel', 'Data Analysis', 'Data Visualization', 'Tableau', 'Python']
"about ""Retell AI Voice Agent Developer for Custom Business Solution"""	$50K+	Canada	Payment verified	https://www.upwork.com/jobs/Retell-Voice-Agent-Developer-for-Custom-Business-Solution_~021884102341585224155/?referrer_url_path=find_work_home	Retell AI Voice Agent Developer for Custom Business Solution	"We're developing a sophisticated AI Voice Agent system for handling both inbound and outbound calls. The solution must be scalable, maintainable, and integrate seamlessly with existing business tools.


* Must have demonstrable experience with:

AI Voice Platforms (at least one): Retell
Automation platforms: n8n 
LLM Integration: OpenAI API, Claude API, or similar
Voice Processing: Deepgram or Whisper
Integration experience with CRM systems (Salesforce, HubSpot)
API development and webhooks

Project Scope
Phase 1: Voice Agent Development

Design and implement conversation flows for both inbound/outbound scenarios
Handle dynamic data injection into conversations
Implement fallback scenarios and error handling
Set up analytics and monitoring

Phase 2: Integration & Automation

Create automated workflows for data processing
Build CRM integration for lead/customer data
Implement calendar scheduling system
Develop reporting system for call metrics

Phase 3: Testing & Optimization

A/B testing different conversation flows
Performance optimization
Scale testing
Documentation creation

* Required Deliverables

Complete source code with documentation
Deployment scripts and infrastructure setup
Integration documentation
Testing results and performance metrics
Training materials for system management

* To Apply, Please Include:

Links to similar AI Voice Agent projects you've built
Specific experience with mentioned technologies
Sample code or architecture diagram from a relevant project

* Your approach to handling:
Natural conversation flow
Error cases
System scalability
Data privacy/security


*** Red Flags That Will Disqualify your application automatically:
Generic responses not addressing specific technical requirements
No demonstrable experience with AI voice platforms
Lack of integration experience
Unable to provide specific examples of similar projects

Budget & Timeline
Approx 1 to 2 months and then this can become a fulltime if you wish to stay on.
Weekly progress reports are required

Bonus Skills

Experience with:

Multiple voice AI platforms
Custom LLM fine-tuning
Voice cloning technologies
High-volume call handling
Real-time analytics implementation

Only apply if you have direct experience building AI Voice Agents. Generic AI or chatbot experience alone is not sufficient."	51 minutes ago	Hourly	Intermediate	Est. Time:	30+ hrs/week	['AI Agent Development', 'AI App Development', 'AI Development', 'AI Bot', 'Artificial Intelligence', 'Chatbot Development', 'API Integration', 'Twilio API']
	$10K+	United States	Payment verified	https://www.upwork.com/jobs/Use-DeepSeek-create-Internal-Dashboard_~021884101369520700060/?referrer_url_path=find_work_home	Use DeepSeek to create an Internal Dashboard	I need you to use Ai to create a dashboard that can trigger some API’s with openAi or DeepSeek, AWS, and Google drive. You should be able to use Ai to also generate the code for the repository and program as well so most of the code will be able to be generated and adjusted this way.	55 minutes ago	Hourly: $10-$15	Intermediate	Est. Time:	30+ hrs/week	['Software Design', 'Web Development']
"about ""Mixpanel Analytics Integration for User Tracking & Facebook Ads"""	$0	India	Payment unverified	https://www.upwork.com/jobs/Mixpanel-Analytics-Integration-for-User-Tracking-Facebook-Ads_~021884100043738954396/?referrer_url_path=find_work_home	Mixpanel Analytics Integration for User Tracking & Facebook Ads	We are seeking an experienced freelancer to integrate Mixpanel Analytics into our platform for comprehensive user tracking and Facebook ad conversion analysis. The ideal candidate will have a solid understanding of analytics integration, enabling us to gain valuable insights into user behavior and ad performance. Responsibilities include setting up Mixpanel, ensuring accurate data capture, and providing reports on user interactions and ad effectiveness. If you have a passion for data analytics and a knack for optimizing ad campaigns, we'd love to hear from you!	1 hour ago	Fixed-price	Intermediate	Est. Budget:	$200	['Google Analytics', 'Google Tag Manager', 'Mixpanel', 'Google Ads', 'Analytics']
"about ""Marketing Campaign Specialist"""	$30K+	United Kingdom	Payment verified	https://www.upwork.com/jobs/Marketing-Campaign-Specialist_~021884099381140247087/?referrer_url_path=find_work_home	Marketing Campaign Specialist	"About Us
We’re on a mission to revolutionize medical research with our cutting-edge AI application. Our product is designed to make medical research more efficient, empowering biopharmaceutical professionals, university students, and researchers with advanced AI-driven solutions. Currently in its prototype phase, the application is set to launch mid-February, and we’re gearing up to make a strong impact across key audiences.

The Role
We’re seeking a Marketing Campaign Specialist to develop and execute highly targeted social media campaigns. This individual will help us create awareness, generate engagement, and attract our ideal audiences on platforms such as LinkedIn, Facebook, Instagram, and X (formerly Twitter). We also want to set up an initial email marketing campaign to send to prospective clients.

Responsibilities

Social Media Campaign Strategy: Design and execute campaigns targeting professional biopharmaceutical clients on LinkedIn and university students/researchers on other social media platforms.
Audience Targeting: Use analytics and insights to identify and engage the right audiences across different channels.
Ad Campaign Management: Plan, create, and manage ad campaigns on Facebook, Instagram, LinkedIn, and X to drive engagement and conversions.
Content Creation: Collaborate with our team to develop compelling visuals and messaging tailored to each platform and audience.
Analytics and Reporting: Track and analyze campaign performance using backend tools, providing detailed reports and actionable insights to optimize future campaigns.
Engagement Optimization: Ensure campaigns are designed to foster meaningful interactions and measurable engagement.
Email marketing: initial campaign to clients regarding new product.

Requirements
Proven experience managing and optimizing social media ad campaigns, specifically on Facebook, Instagram, LinkedIn, and X.
Strong knowledge of audience segmentation and targeting strategies, particularly for professional and academic demographics.
Expertise in analytics tools (e.g., Meta Ads Manager, LinkedIn Campaign Manager) to measure campaign performance and provide data-driven recommendations.
Exceptional communication skills, with the ability to craft content that resonates with diverse audiences.
Familiarity with the biotech, pharmaceutical, or medical research industries is a plus.
A results-driven mindset with a portfolio showcasing successful campaigns."	1 hour ago	Hourly: $8-$25	Intermediate	Est. Time:	Less than 30 hrs/week	['Marketing Strategy', 'Google Ads', 'Campaign Management', 'Facebook', 'Email Marketing', 'Social Media Marketing', 'Internet Marketing', 'Campaign Reporting']
